route,eigenaar,indexstatus_nu,doelgroep,hoofdtaak,primaire_zoekvraag,primaire_intentie,bewijsbehoefte,conversiedoel,overlap_met,overlapbesluit,canonieke_claimpagina
/,T1,index,"Bewoner van Venlo en Noord- en Midden-Limburg die een verhuisbedrijf zoekt, plus iedereen die de merknaam intypt","Beoordelen of dit bedrijf hier verhuist en te vertrouwen is, en dan een offerte aanvragen",verhuisbedrijf Venlo,Lokale bedrijfskeuze: welk verhuisbedrijf neem ik in deze regio,"Werkgebied, erkenning, reviewcijfer met bron en peildatum, telefoonnummer en adresrol, rechtspersoon in de voet","Offerteaanvraag via #offerte, bellen of appen","/diensten/, /particulier-verhuizen/, /over-ons/, /klantervaringen/","BESLUIT: alleen de homepage stuurt op verhuisbedrijf plus plaatsnaam. /diensten/ stuurt op dienstkeuze, /particulier-verhuizen/ op de woningverhuizing zonder plaatsmodifier, /over-ons/ op bedrijfshistorie en /klantervaringen/ op beoordelingen. De homepage vat samen in maximaal een alinea per onderwerp en linkt door; zij herhaalt geen volledige dienst-, review- of historietekst.","/over-ons/ (identiteit), /erkende-verhuizer/ (erkenning), /klantervaringen/ (reviewcijfer), /verzekering/ (dekking)"
/algemene-voorwaarden/,T3,index,"Klant, zakelijke opdrachtgever of wederpartij die de contracttekst zelf wil nalezen",Het artikel opzoeken dat op zijn situatie van toepassing is,algemene voorwaarden verhuizing AVVV 2025,Brontekst raadplegen: wat staat er letterlijk in de voorwaarden,"Welke set bij welke opdracht hoort, versiejaar per set, en schriftelijke toestemming om de OEV-sets woordelijk te publiceren",Geen conversie; de route stuurt door naar uitleg bij een vervolgvraag,"/verzekering/, /klachtenregeling/, /erkende-verhuizer/, /certificeringen/","BESLUIT: deze route draagt uitsluitend de letterlijke voorwaardentekst. Uitleg in gewone taal staat op /verzekering/ (dekking) en /klachtenregeling/ (procedure); die pagina's linken hierheen naar het artikelanker, nooit andersom vanuit een artikel. Commerciele links alleen in de eigen intro, niet tussen de artikelen.",zichzelf voor de voorwaardentekst; /verzekering/ voor bedragen; /erkende-verhuizer/ voor het garantiecertificaat
/antiek-en-kunst-verhuizen/,T2,noindex,"Particulier, verzamelaar of galerie met kunst, antiek, spiegels, klokken of serviezen",Beoordelen of dit bedrijf waardevolle en onvervangbare stukken veilig verplaatst,antiek en kunst laten verhuizen,Specialistisch transport van waardevolle en onvervangbare objecten,"Conditierapport voor vertrek, verpakkingsmethode per objectsoort, chain of custody, waardebepaling en de dekkingsgrens voor kunst en verzamelingen",Opname aanvragen met objectlijst,"/inpakservice/, /piano-verhuizen/, /verzekering/","BESLUIT: /inpakservice/ gaat over het hele huishouden inpakken, deze route over losse objecten met conditierapport en aparte waardering, /piano-verhuizen/ over een specifiek zwaar instrument. Dekkingsbedragen en uitsluitingen worden hier niet herhaald maar geciteerd met link naar /verzekering/.","/verzekering/ (limieten kunst en verzamelingen), /algemene-voorwaarden/#pv05"
/certificeringen/,T3,index,"Zakelijke inkoper, aanbestedende partij of kritische particulier die keurmerken natrekt","Nagaan welk keurmerk op wiens naam staat, met welke scope en tot wanneer",certificaten verhuisbedrijf ISO VCA CO2-prestatieladder,Certificaatverificatie: welk keurmerk staat op welke rechtspersoon,"Houder, scope, vestiging, geldigheidsdatum en een controleerbare bewijslink per certificaat",Zakelijke aanvraag of contactverzoek,"/erkende-verhuizer/, /duurzaamheid/, /over-ons/","BESLUIT: /erkende-verhuizer/ legt een keurmerk inhoudelijk uit (wat krijgt de klant), deze route somt op welke certificaten er zijn en op wiens naam. De CO2-ladder wordt hier als certificaat genoemd en op /duurzaamheid/ inhoudelijk uitgewerkt; geen van beide herhaalt de tekst van de ander.","zichzelf, mits per certificaat houder en scope zijn bevestigd; anders geblokkeerd"
/contact/,T3,index,"Iemand die nu wil bellen, mailen of langskomen, of die de bedrijfsgegevens nodig heeft",Het juiste contactkanaal kiezen en gebruiken,De Kievit Verhuizingen Venlo contact telefoonnummer,Contact opnemen: hoe bereik ik dit bedrijf,"Telefoonnummer, mailadres, bezoekadres met adresrol, openingstijden, reactietermijn en de bedrijfsgegevens voor de administratie","Bellen, appen, mailen of het formulier invullen","/, /veelgestelde-vragen/, /over-ons/","BESLUIT: de contacttaak is leidend. Deze route krijgt alleen links naar /diensten/, /werkwijze/ en /veelgestelde-vragen/ en geen extra contextlinks die de contacttaak verdringen. De homepage herhaalt de bedrijfsgegevens niet voluit maar linkt hierheen.","zichzelf voor NAP en openingstijden, in lijn met entity-map.md"
/cookiebeleid/,T3,index,Bezoeker of toezichthouder die wil weten wat er op het apparaat wordt bewaard,Nagaan of deze site cookies of opslag gebruikt en waarvoor,cookiebeleid website verhuisbedrijf,Cookieverantwoording: wat zet deze site op mijn apparaat,"De werkelijk gebruikte techniek: geen cookies, wel localStorage voor de checklist, en wat er gebeurt zodra er wel gemeten wordt",Geen conversie,"/privacybeleid/, /verhuischecklist/, /disclaimer/","BESLUIT: /privacybeleid/ beschrijft persoonsgegevens en verwerkers, deze route uitsluitend opslag op het apparaat van de bezoeker. De checklistopslag wordt hier technisch beschreven en op /verhuischecklist/ alleen als gebruikersbelofte genoemd.","zichzelf, mits gelijk aan de werkelijke Vercel- en Web3Forms-configuratie"
/diensten/,T2,index,Iemand die weet dat hij een verhuisbedrijf nodig heeft maar nog niet welke dienst of combinatie,De juiste dienst kiezen uit het aanbod en doorklikken,welke verhuisdiensten biedt een verhuisbedrijf,Dienstkeuze: welk type verhuizing of aanvullende dienst past bij mij,"Per dienst een afbakening van wat er wel en niet onder valt, zodat de keuze klopt voordat iemand doorklikt",Doorklik naar de juiste servicepagina; offerteaanvraag als tweede stap,"/, alle elf servicepagina's","BESLUIT: dit is de hub. Zij beschrijft per dienst maximaal drie tot vier zinnen afbakening en dupliceert nooit de servicecontent. Zolang de elf services noindex staan, is het bijbehorende hubblok de tijdelijke bestemming voor alle contextlinks uit de rest van de site.","/verzekering/, /erkende-verhuizer/, /klantervaringen/ voor alle trustclaims in de hubtekst"
/disclaimer/,T3,index,"Bezoeker die de status van cijfers, rekenhulpen en beeld op deze site wil kennen",Nagaan hoe hard de getoonde informatie is,disclaimer website informatie rekenhulp,Voorbehoud bij de site-informatie: hoe hard zijn deze cijfers en schattingen,"Peildatum bij mutabele cijfers, expliciete status van de calculators als schatting, en de herkomst van beeld en merknamen",Geen conversie,"/privacybeleid/, /algemene-voorwaarden/, /dozencalculator/, /m3-calculator/, /klantervaringen/","BESLUIT: het voorbehoud bij de calculators staat hier generiek; de methodische verantwoording (bron, versie, beperking) hoort op de calculator zelf. Het reviewcijfer met peildatum is canoniek op /klantervaringen/; hier staat alleen de regel dat cijfers bij een peildatum horen.","/klantervaringen/ (reviewcijfer en peildatum), /dozencalculator/ en /m3-calculator/ (methode)"
/dozencalculator/,T2,index,Iemand die gaat inpakken en wil weten hoeveel verhuisdozen hij moet bestellen,Een dozenaantal uitrekenen en het meenemen in de aanvraag,hoeveel verhuisdozen heb ik nodig,Aantal verhuisdozen bepalen,"Rekenmodel met bron, modelversie, validatiemethode en expliciete beperking; wat het model niet ziet",Uitkomst meesturen in de offerteaanvraag; dozen laten leveren,"/m3-calculator/, /inpaktips/, /inpakservice/","BESLUIT: deze route rekent stuks dozen, /m3-calculator/ rekent volume in kubieke meter. Beide linken naar elkaar met een expliciete uitleg van het verschil en geen van beide herhaalt de rekenmethode van de ander. Inpakadvies staat op /inpaktips/, uitbesteden op de inpakservice.","zichzelf voor het rekenmodel, mits bron en versie zijn vastgelegd; /disclaimer/ voor het algemene voorbehoud"
/duurzaamheid/,T3,index,Zakelijke opdrachtgever of bewuste particulier die op milieucriteria selecteert,Beoordelen wat dit bedrijf aantoonbaar doet aan duurzaam verhuizen,duurzaam verhuisbedrijf CO2 verhuizen,Milieuverantwoording van de verhuizer,"Bron en peildatum bij elk getal, en een expliciete scheiding tussen wat van De Kievit is en wat van de organisatie erboven",Zakelijke aanvraag of contactverzoek,"/certificeringen/, /over-ons/, /kantoorverhuizing/","BESLUIT: /certificeringen/ noemt de CO2-ladder als certificaat met houder en scope; deze route werkt het inhoudelijk uit. De koppeling met De Bresser hoort hier als bron van de cijfers, de bedrijfsgeschiedenis blijft op /over-ons/.",/certificeringen/ (certificaathouder en scope); getallen geblokkeerd tot bron en peildatum vaststaan
/erkende-verhuizer/,T3,index,Klant die twijfelt tussen aanbieders en wil weten wat een erkenning concreet oplevert,Begrijpen welke zekerheden het predicaat geeft en of dit bedrijf ze biedt,wat is een erkende verhuizer,Betekenis van het keurmerk voor de klant,"Wie het predicaat uitgeeft, waarop wordt getoetst, en dat het lidmaatschap actueel is",Offerteaanvraag met vertrouwen als aanleiding,"/certificeringen/, /verzekering/, /algemene-voorwaarden/, /klachtenregeling/","BESLUIT: deze route legt uit wat de erkenning betekent en verwijst voor elke concrete belofte door: bedragen naar /verzekering/, de tekst naar /algemene-voorwaarden/, de procedure naar /klachtenregeling/ en de certificaatadministratie naar /certificeringen/. Zij herhaalt geen bedragen of termijnen.",zichzelf voor de betekenis van het predicaat; /verzekering/ voor bedragen; /certificeringen/ voor de lidmaatschapsadministratie
/inboedelopslag/,T2,noindex,"Iemand met een gat tussen twee woningen, een verbouwing of een tijdelijk verblijf in het buitenland","Beoordelen of, hoe lang en onder welke voorwaarden de inboedel hier kan staan",inboedelopslag huren Venlo,Tijdelijke opslag van een complete inboedel regelen,"Capaciteit en opslagvorm, locatie met adresrol, beveiliging en klimaat, toegangsregeling, ophaal- en terugbrengafspraak, dekking tijdens opslag en de maximale termijn",Opslagaanvraag met globaal volume en gewenste periode,"/, /diensten/, /m3-calculator/, /verzekering/, /internationale-verhuizing/","BESLUIT: de opslagband op de homepage en op /diensten/ blijft een korte aankondiging met doorklik; alle voorwaarden, termijnen en dekking staan uitsluitend hier en op /verzekering/#opslag-zakelijk. De opslagvragen in de algemene FAQ blijven kort en verwijzen hierheen.","/verzekering/#opslag-zakelijk (dekking), /algemene-voorwaarden/#avbv (bewaarneming); route geblokkeerd tot opslaglocatie, dekking en termijn schriftelijk bevestigd zijn"
/inpakservice/,T2,noindex,"Iemand die het inpakken helemaal of gedeeltelijk wil uitbesteden, vaak met weinig tijd","Beslissen wat hij zelf doet en wat hij uitbesteedt, en dat laten offreren",inpakservice verhuizing laten inpakken,Inpakwerk uitbesteden aan de verhuizer,"Welke materialen worden geleverd, welke breekbare categorieen apart worden behandeld, hoe er gelabeld wordt en wie waarvoor verantwoordelijk is bij zelf ingepakte dozen",Aanvraag met keuze volledig of gedeeltelijk inpakken,"/inpaktips/, /dozencalculator/, /antiek-en-kunst-verhuizen/, /montage-demontage/",BESLUIT: /inpaktips/ is de doe-het-zelfgids en blijft informatief zonder verkooptekst; deze route is de commerciele tegenhanger. Zij herhaalt geen inpaktechniek maar linkt naar de gids. Losse waardevolle objecten gaan naar /antiek-en-kunst-verhuizen/.,"/verzekering/ (aansprakelijkheid bij zelf ingepakte dozen), /algemene-voorwaarden/#avvv"
