route,status,titel,types_toegestaan,ids,verboden,opmerking
/,index,Homepage,Organization;MovingCompany;WebSite;WebPage,https://www.de-kievit.nl/#organisatie;https://www.de-kievit.nl/#bedrijf;https://www.de-kievit.nl/#website;https://www.de-kievit.nl/#pagina,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst","Enige plek waar #organisatie, #bedrijf en #website worden gedefinieerd. Alle andere pagina.s verwijzen er alleen naar."
/over-ons/,index,Over ons,WebPage;BreadcrumbList,https://www.de-kievit.nl/over-ons/#pagina;https://www.de-kievit.nl/over-ons/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/werkwijze/,index,Onze werkwijze,WebPage;BreadcrumbList,https://www.de-kievit.nl/werkwijze/#pagina;https://www.de-kievit.nl/werkwijze/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/duurzaamheid/,index,Duurzaamheid,WebPage;BreadcrumbList,https://www.de-kievit.nl/duurzaamheid/#pagina;https://www.de-kievit.nl/duurzaamheid/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/vacatures/,index,Werken bij De Kievit,WebPage;BreadcrumbList,https://www.de-kievit.nl/vacatures/#pagina;https://www.de-kievit.nl/vacatures/#kruimels,"JobPosting zolang er geen echte vacature met functietitel, plaats, dienstverband en einddatum is",USER_EXTERNAL: pas schema bij een concrete vacature.
/erkende-verhuizer/,index,Erkende Verhuizer,WebPage;BreadcrumbList,https://www.de-kievit.nl/erkende-verhuizer/#pagina;https://www.de-kievit.nl/erkende-verhuizer/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/certificeringen/,index,Certificeringen,WebPage;BreadcrumbList,https://www.de-kievit.nl/certificeringen/#pagina;https://www.de-kievit.nl/certificeringen/#kruimels,"certificaten hangen aan N6 (Top Movers Nederland B.V.), nooit aan #bedrijf","Wij zijn aangesloten vestiging, geen certificaathouder."
/verzekering/,index,Verzekering,WebPage;BreadcrumbList,https://www.de-kievit.nl/verzekering/#pagina;https://www.de-kievit.nl/verzekering/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/klachtenregeling/,index,Klachtenregeling,WebPage;BreadcrumbList,https://www.de-kievit.nl/klachtenregeling/#pagina;https://www.de-kievit.nl/klachtenregeling/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/klantervaringen/,index,Klantervaringen,WebPage;BreadcrumbList,https://www.de-kievit.nl/klantervaringen/#pagina;https://www.de-kievit.nl/klantervaringen/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst","Cijfers en beoordelingen blijven zichtbaar in de tekst, met bron en peildatum."
/veelgestelde-vragen/,index,Veelgestelde vragen,WebPage;BreadcrumbList,https://www.de-kievit.nl/veelgestelde-vragen/#pagina;https://www.de-kievit.nl/veelgestelde-vragen/#kruimels,"geen FAQPage. NIET verboden maar zonder opbrengst: Google schrapte het rich result op 7 mei 2026 (filter, Search Console-rapport en Rich Results Test volgden in juni, API-data in augustus). Het type blijft geldig schema.org en wordt nog gelezen door andere crawlers en AI-systemen, dus er is geen risico, alleen geen reden om erin te investeren",Alleen WebPage. De vragen blijven gewoon leesbaar in de pagina.
/diensten/,index,Onze verhuisdiensten,WebPage;BreadcrumbList,https://www.de-kievit.nl/diensten/#pagina;https://www.de-kievit.nl/diensten/#kruimels,"VERBODEN: AggregateRating en Review over de eigen organisatie. Een beoordeling over entiteit A op de site van entiteit A geldt als self-serving; pagina.s met LocalBusiness of Organization komen dan niet in aanmerking voor het sterrenresultaat en overtreding kan een handmatige maatregel opleveren die rich snippets domeinbreed wegneemt. Let op: dit verbod geldt NIET voor Product-schema, daar is klantbeoordeling wel toegestaan. De cijfers blijven gewoon zichtbaar in de tekst",
/particulier-verhuizen/,noindex,Particuliere verhuizing,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/internationale-verhuizing/,noindex,Internationale verhuizing,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/seniorenverhuizing/,noindex,Seniorenverhuizing,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/spoedverhuizing/,noindex,Spoedverhuizing,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/inpakservice/,noindex,Inpakservice,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/montage-demontage/,noindex,Montage en demontage,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/inboedelopslag/,noindex,Inboedelopslag,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/zorgverhuizing/,noindex,Zorgverhuizing,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/piano-verhuizen/,noindex,Piano verhuizen,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/antiek-en-kunst-verhuizen/,noindex,Antiek en kunst,GEEN,,alles,Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf.
/kantoorverhuizing/,noindex,Kantoorverhuizing,GEEN,,alles,"Route staat op noindex. Schema pas na vrijgave: dan Service met @id <url>#dienst en provider #bedrijf. Extra blokkade: de pagina noemt nu AVVV 2025 en het Garantiecertificaat, allebei consumenteninstrumenten. Zie C10 in het claimsregister; deze route mag niet vrij voor dat is opgelost."
/verhuischecklist/,index,Verhuischecklist,WebPage;BreadcrumbList,https://www.de-kievit.nl/verhuischecklist/#pagina;https://www.de-kievit.nl/verhuischecklist/#kruimels,"geen HowTo. Zelfde reden: rich result vervallen, mobiel augustus 2023 en desktop 14 september 2023. Markup blijft geldig, levert niets op",
/inpaktips/,index,Inpaktips,WebPage;BreadcrumbList,https://www.de-kievit.nl/inpaktips/#pagina;https://www.de-kievit.nl/inpaktips/#kruimels,"geen HowTo. Zelfde reden: rich result vervallen, mobiel augustus 2023 en desktop 14 september 2023. Markup blijft geldig, levert niets op",
/dozencalculator/,index,Dozencalculator,WebPage;BreadcrumbList,https://www.de-kievit.nl/dozencalculator/#pagina;https://www.de-kievit.nl/dozencalculator/#kruimels,SoftwareApplication;Product,"Het is een hulpje in de pagina, geen product."
/m3-calculator/,index,M3-calculator,WebPage;BreadcrumbList,https://www.de-kievit.nl/m3-calculator/#pagina;https://www.de-kievit.nl/m3-calculator/#kruimels,SoftwareApplication;Product,Idem.
/contact/,index,Contact,ContactPage;BreadcrumbList,https://www.de-kievit.nl/contact/#pagina;https://www.de-kievit.nl/contact/#kruimels,een tweede LocalBusiness- of MovingCompany-knoop; verwijs naar #bedrijf,"Adres uitsluitend N3, met ""Van"". Horsterweg 217 komt hier niet in schema."
/algemene-voorwaarden/,index,Algemene voorwaarden,WebPage;BreadcrumbList,https://www.de-kievit.nl/algemene-voorwaarden/#pagina;https://www.de-kievit.nl/algemene-voorwaarden/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/privacybeleid/,index,Privacybeleid,WebPage;BreadcrumbList,https://www.de-kievit.nl/privacybeleid/#pagina;https://www.de-kievit.nl/privacybeleid/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/cookiebeleid/,index,Cookiebeleid,WebPage;BreadcrumbList,https://www.de-kievit.nl/cookiebeleid/#pagina;https://www.de-kievit.nl/cookiebeleid/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/disclaimer/,index,Disclaimer,WebPage;BreadcrumbList,https://www.de-kievit.nl/disclaimer/#pagina;https://www.de-kievit.nl/disclaimer/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/toegankelijkheid/,index,Toegankelijkheid,WebPage;BreadcrumbList,https://www.de-kievit.nl/toegankelijkheid/#pagina;https://www.de-kievit.nl/toegankelijkheid/#kruimels,alles wat een aanbod of beoordeling suggereert,Alleen WebPage.
/sitemap/,index,Sitemap,WebPage;BreadcrumbList,https://www.de-kievit.nl/sitemap/#pagina;https://www.de-kievit.nl/sitemap/#kruimels,,Alleen navigatie.
