element,aantal_routes_nu,routes_nu,canonieke_route,korte_vermelding_toegestaan_op,verwijderen_of_vervangen_op,reden,eigenaar,besluit
"USP-blok 'Verhuizen zonder verhuisstress' (#waarom, vier USP-kaarten)",12,/diensten/ en de elf servicroutes,/diensten/,"de elf services: maximaal een dienstspecifieke variant van een enkele USP, in eigen woorden",de elf servicroutes,Vier identieke USP-kaarten van samen circa 300 woorden op twaalf routes. Zij dragen niets bij aan de dienstintentie en drukken de purpose-specifieke inhoud naar nul.,T1 (blok uit build_paginas.BLOKKEN) plus T2 voor de vervangende servicecopy,BESLUIT: blok blijft alleen op de hub. Elke service krijgt in Fase 3 een eigen antwoordcapsule van 40 tot 60 woorden op die plek.
Teamblok 'Vakmensen met een verhuisdiploma' (#team),12,/diensten/ en de elf servicroutes,/over-ons/,/diensten/: twee zinnen met doorklik naar /over-ons/#wie-wij-zijn,de elf servicroutes,Bedrijfsinformatie op een servicroute duwt de dienstbelofte onder de vouw. De Search Quality-gate eist dat de antwoordcapsule voor de algemene bedrijfsinformatie staat.,T1 (blok) plus T3 (/over-ons/ als canonieke tekst),BESLUIT: weg van de elf services. Op de hub blijft een korte verwijzing; de volledige tekst staat op /over-ons/.
Opslagband 'Even geen plek? Wij slaan uw inboedel op' (#opslag),13,"/, /diensten/ en de elf servicroutes",/inboedelopslag/,/ en /diensten/: aankondiging van maximaal drie zinnen met doorklik,de tien servicroutes die niet over opslag gaan,"Opslag is een eigen dienst met eigen voorwaarden, termijn en dekking. Dezelfde band op dertien routes maakt van elke servicroute half een opslagpagina.",T1 (blok uit index.html) plus T2 (/inboedelopslag/),BESLUIT: canoniek op /inboedelopslag/ zodra die route vrijgegeven is. Tot die tijd blijft de band op / en de hub staan en linkt hij naar /diensten/#verhuisdiensten.
'Acht zekerheden die u er gratis bij krijgt' (#z-ok),13,"/certificeringen/, /erkende-verhuizer/ en de elf servicroutes",/erkende-verhuizer/,"/certificeringen/: verwijzing met link, niet de volledige opsomming",de elf servicroutes,"Dezelfde acht zekerheden op dertien routes. De inhoud hoort bij het keurmerk, niet bij een dienst, en op /certificeringen/ staat hij naast de eigen certificaatlijst waardoor twee routes op hetzelfde onderwerp sturen.",T3 (blok-certificeringen.html) plus T1 (kopie in de staart),"BESLUIT: volledige opsomming alleen op /erkende-verhuizer/. Services citeren hoogstens de een of twee zekerheden die voor die dienst gelden, met link."
Werkwijzeblok in de servicestaart (#werkwijze),12,/ en de elf servicroutes,/werkwijze/,/ : samenvatting van vier stappen met doorklik,de elf servicroutes,Het generieke proces staat nu op twaalf routes en op /werkwijze/ nog een keer voluit. Dat maakt /werkwijze/ inwisselbaar met elke servicroute.,T1 (blok uit index.html) plus T2 (/werkwijze/),"BESLUIT: het generieke proces staat een keer, op /werkwijze/. Een service beschrijft alleen de dienstspecifieke afwijking op het proces en linkt naar /werkwijze/#zo-werkt-het."
"Blok particulier/zakelijk plus werkgebied met vijftien plaatsen (#wonen, #werkgebied)",12,/ en de elf servicroutes,/,/diensten/: een zin over het werkgebied met doorklik naar /contact/#contact-adres,de elf servicroutes,Vijftien plaatsnamen op elf noindex-routes leveren geen lokale relevantie op en herhalen de geo-intentie die bij de homepage hoort.,T1 (blok uit index.html),BESLUIT: geo-intentie is exclusief van de homepage. Weg van de elf services; een service noemt hoogstens de regio in een zin als dat voor die dienst uitmaakt.
"Set van zeven algemene FAQ-vragen (#faq: kosten, dozen, montage, opslag, verzekering, termijn, buiten Venlo)",13,"/, /diensten/ en de elf servicroutes",/veelgestelde-vragen/,"/ en /diensten/: maximaal drie vragen die op die route echt ontstaan, plus een link naar /veelgestelde-vragen/",de elf servicroutes,"Zeven identieke vragen op dertien routes. De gate verbiedt expliciet een algemene FAQ-set als vervanging voor service-inhoud, en /veelgestelde-vragen/ raakt zo zijn eigen aanleiding kwijt.",T1 (blok uit index.html) plus T2 (blok_veelgestelde_vragen.py),BESLUIT: algemene vragen canoniek op /veelgestelde-vragen/. Elke service krijgt in Fase 3 drie tot vijf eigen vragen die nergens anders staan.
Belofte 'Die reviews staan verderop op deze pagina',12,/diensten/ en de elf servicroutes,/klantervaringen/,geen enkele route mag dit beloven zonder de reviews te tonen,/diensten/ en de elf servicroutes,Feitelijk onjuist: op geen van de twaalf routes staat een reviewsectie. Dit is een belofte die de pagina niet nakomt en valt onder de nul-tegenspraakgate van Fase 1.,T1 (blok uit build_paginas.BLOKKEN) plus T2 voor de vervangende zin,"BESLUIT: zin vervangen door een verwijzing naar /klantervaringen/#kev-reviews-kop, of een echte reviewsectie plaatsen. Vervangen heeft de voorkeur; op de hub en elf services hoort geen tweede reviewdataset."
"Reviewcijfer 9,4 uit 779 beoordelingen",34,"alle 34 routes, via de topbalk",/klantervaringen/,"topbalk en homepage, mits met dezelfde peildatum en bron als /klantervaringen/",geen route; wel uniformeren,"Het cijfer staat sitebreed in een globaal component. Zolang 779 tegenover 796 niet is opgelost, staat een onbevestigd getal op 34 routes tegelijk.",T1 (navigatie.py) plus T3 (bron en peildatum),BESLUIT: een bron van waarheid bij T3. T2 herhaalt het cijfer nergens in servicecopy maar linkt naar /klantervaringen/.
Claim 'uitsluitend met gediplomeerde inboedelverhuizers',13,"/diensten/, de elf servicroutes en /vacatures/",/over-ons/,"hub en services: alleen als T3 de claim bevestigt, anders versmald tot de bewezen norm",elke route zolang het bewijs ontbreekt,"Absolute diplomaclaim op dertien routes. Fase 1 eist nul onbewezen absolute diplomaclaims; /vacatures/ noemt tegelijk een leerroute, wat op gespannen voet staat met 'uitsluitend'.",T3 (bewijs) plus T1 en T2 (tekst),BESLUIT: OWNER INPUT NEEDED bij T3. Tot de bevestiging schrijft T2 deze claim niet in nieuwe servicecopy.
